,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
61,OnePlus 3T,True,True,True,False,"2016, November. Released 2016, November",Discontinued,152.7 x 74.7 x 7.4 mm (6.01 x 2.94 x 0.29 in),158 g (5.57 oz),"Glass front (Gorilla Glass 4), aluminum back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,Optic AMOLED,"5.5 inches, 83.4 cm2 (~73.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 4,,"Android 6.0.1 (Marshmallow), upgradable to Android 9.0 (Pie)",Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,No,"64GB 6GB RAM, 128GB 6GB RAM","16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF, OIS","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, 720p@120fps, Auto HDR","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA","4.2, A2DP, aptX HD, LE","GPS, GLONASS, BDS",Yes,No,USB Type-C 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3400 mAh, non-removable",20W wired,,"Gunmetal, Soft Gold, Midnight Black","A3010, A3003",0.99 W/kg (head)     0.65 W/kg (body)     ,,About 440 EUR,"
AnTuTu: 171678 (v7)
GFXBench: 20fps (ES 3.1 onscreen)",Endurance rating 83h,"11,102,204 hits",4.5
62,OnePlus 3,True,True,True,False,"2016, June. Released 2016, June",Discontinued,152.7 x 74.7 x 7.4 mm (6.01 x 2.94 x 0.29 in),158 g (5.57 oz),"Glass front (Gorilla Glass 4), aluminum back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,Optic AMOLED,"5.5 inches, 83.4 cm2 (~73.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 4,,"Android 6.0.1 (Marshmallow), upgradable to Android 9.0 (Pie)",Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,No,64GB 6GB RAM,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF, OIS","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, 720p@120fps, Auto HDR","8 MP, f/2.0, 1/3.2"", 1.4µm",,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA","4.2, A2DP, LE, aptX HD","GPS, GLONASS, BDS",Yes,No,USB Type-C 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable",20W wired,,"Graphite, soft gold","A3003, A3000, SM-A3000",,0.39 W/kg (head)     0.32 W/kg (body)     ,About 400 EUR,"
Basemark OS II 2.0: 2365Basemark X: 32715",Endurance rating 66h,"19,800,387 hits",4.3
63,OnePlus X,True,True,True,False,"2015, October. Released 2015, November",Discontinued,140 x 69 x 6.9 mm (5.51 x 2.72 x 0.27 in),138 g / 160 g (4.87 oz),"Glass front (Gorilla Glass 3), glass back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",,AMOLED,"5.0 inches, 68.9 cm2 (~71.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Corning Gorilla Glass 3,,"Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), OxygenOS 2.2.3",Qualcomm Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDXC (uses shared SIM slot),16GB 3GB RAM,"13 MP, f/2.2, 1/3.1"", 1.14µm, PDAF","LED flash, panorama, HDR","1080p@30fps, 720p@120fps","8 MP, f/2.4",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","GPS, GLONASS, BDS",No,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity","Li-Po 2525 mAh, non-removable",,,"Onyx, Ceramic, Champagne","ONE E1003, ONE E1001, ONE E1005",1.11 W/kg (head)     1.11 W/kg (body)     ,0.32 W/kg (head)     0.42 W/kg (body)     ,About 270 EUR,"
Basemark OS II 2.0: 1213Basemark X: 10572",Endurance rating 54h,"12,356,352 hits",
64,OnePlus 2,True,True,True,False,"2015, July. Released 2015, August",Discontinued,151.8 x 74.9 x 9.9 mm (5.98 x 2.95 x 0.39 in),175 g (6.17 oz),"Glass front (Gorilla Glass 3), plastic back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"5.5 inches, 83.4 cm2 (~73.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 3,,"Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), Oxygen 3.5.6 UI",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.56 GHz Cortex-A53 & 4x1.82 GHz Cortex-A57),Adreno 430,No,"16GB 3GB RAM, 64GB 4GB RAM","13 MP, f/2.0, 1/2.6"", 1.3µm, Laser AF, OIS","Dual-LED flash, panorama, HDR","4K@30fps, 4K(DCI)@24fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.","5 MP, f/2.4",,720p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP","GPS, GLONASS",No,No,USB Type-C 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 3300 mAh, non-removable",,,Sandstone Black,"ONE A2003, ONE A2005, ONE A2001",,0.43 W/kg (head)     0.20 W/kg (body)     ,About 300 EUR,"
Basemark OS II 2.0: 1622Basemark X: 21937",Endurance rating 61h,"17,643,698 hits",
65,OnePlus One,True,True,True,False,"2014, April. Released 2014, June",Discontinued,152.9 x 75.9 x 8.9 mm (6.02 x 2.99 x 0.35 in),162 g (5.71 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame",Micro-SIM,,IPS LCD,"5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 3,"CyanogenMod 13
Oxygen 2.1.4","Android 4.4.2 (KitKat), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8974AC Snapdragon 801 (28 nm),Quad-core 2.5 GHz Krait 400,Adreno 330,No,"16GB 3GB RAM, 64GB 3GB RAM","13 MP, f/2.0, 1/3.1"", 1.12µm, AF","Dual-LED flash, panorama, HDR","4K@30fps, 4K(DCI)@24fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.","5 MP, f/2.0",,720p@30fps,"Yes, dual mono speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP","GPS, GLONASS",Yes,No,"microUSB 2.0, OTG","Accelerometer, gyro, proximity, compass","Li-Po 3100 mAh, non-removable",,,"Silk White, Sandstone Black",A0001,0.62 W/kg (head)     0.75 W/kg (body)     ,,About 250 EUR,"
Basemark OS II 2.0: 1230Basemark X: 13129",Endurance rating 66h,"20,928,976 hits",
66,OnePlus V Fold,True,True,True,True,Not announced yet,Cancelled,-,-,,"Dual SIM (Nano-SIM, dual stand-by)",,"Foldable LTPO AMOLED, 120Hz, HDR10+","7.8 inches, 195.8 cm2",1792 x 1920 pixels (~337 ppi density),,"Cover display:
AMOLED, 120Hz, 6.3 inches",Android 14,,,,No,256GB 16GB RAM,"48 MP, (wide), PDAF, OIS
64 MP, (telephoto), optical zoom, PDAF
48 MP, f/2.2, 14mm, 115˚ (ultrawide), 1/2.0"", 0.8µm, AF","Hasselblad Color Calibration, Dual-LED dual-tone flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps","20 MP, (wide)
Cover camera:
32 MP, f/2.4, 22mm (wide), 1/3.14""","HDR, panorama","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band","5.3, A2DP, LE","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,USB Type-C,"Fingerprint (side-mounted), accelerometer, dual gyro, proximity, compass","Li-Po 4800 mAh, non-removable",67W wired,,Black; other colors,,,,,,,"256,967 hits",
67,OnePlus Nord 2 Lite,True,True,True,True,Not announced yet,Cancelled,164.3 x 75.6 x 8.5 mm (6.47 x 2.98 x 0.33 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz","6.59 inches, 104.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~401 ppi density)",,,"Android 12, OxygenOS 12.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),128GB 8GB RAM,"64 MP, f/1.7, 26mm (wide), 0.7µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, (wide), 1/3.0"", 1.0µm",HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",33W wired,,"Black Dusk, Blue Tide",,,,,,,"72,625 hits",
68,OnePlus 9E,True,True,True,True,Not announced yet,Cancelled,-,-,,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz","6.5 inches, 102.0 cm2","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,,Android 11,Qualcomm SM6350 Snapdragon 690 5G (8 nm),Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver),Adreno 619L,microSDXC,128GB 8GB RAM,"64 MP, f/1.8, (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.3, 119˚ (ultrawide)
2 MP, f/2.4, (depth)
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps; gyro-EIS",16 MP,HDR,"1080p@30/60fps, gyro-EIS",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",GPS,Yes,No,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",,,Blue; other colours,,,,,,,"251,167 hits",
69,OnePlus 7T Pro 5G McLaren,True,True,True,True,"2019, October 23","Available. Released 2019, November 05",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)",Corning Gorilla Glass 6,,"Android 10, OxygenOS 10.0",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,256GB 12GB RAM,"48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom
16 MP, f/2.2, 13mm (ultrawide), AF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","Li-Po 4085 mAh, non-removable",30W wired,,Papaya Orange,HD1925,,,About 800 EUR,,,"1,827,489 hits",
70,OnePlus 7T Pro,True,True,True,False,"2019, October 10","Available. Released 2019, October 12",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)",Corning Gorilla Glass 5,,"Android 10, upgradable to Android 12, OxygenOS 12.1",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,"256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, OIS
16 MP, f/2.2, 17mm (ultrawide), AF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","Li-Po 4085 mAh, non-removable",30W wired,,"Haze Blue, McLaren Edition","HD1911, HD1913, HD1910",,,About 1030 EUR,"
AnTuTu: 395868 (v7), 493901 (v8)
GeekBench: 11246 (v4.4), 2803 (v5.1)
GFXBench: 24fps (ES 3.1 onscreen)",Endurance rating 100h,"3,621,162 hits",4.6
71,OnePlus 7T,True,True,True,False,"2019, September 26","Available. Released 2019, September 27",160.9 x 74.4 x 8.1 mm (6.33 x 2.93 x 0.32 in),190 g (6.70 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.55 inches, 103.6 cm2 (~86.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,,"Android 10, upgradable to Android 12, OxygenOS 12.1",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,"128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.6, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
12 MP, f/2.2, 51mm (telephoto), 1.0µm, PDAF, 2x optical zoom
16 MP, f/2.2, 17mm (ultrawide), AF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","Li-Po 3800 mAh, non-removable",30W wired,,"Frosted Silver, Glacier Blue, White","HD1901, HD1903, HD1900, HD1907, HD1905",,,$ 148.94 / £ 139.99 / € 150.27,"
AnTuTu: 391545 (v7), 485585 (v8)
GeekBench: 11394 (v4.4), 2858 (v5.1)
GFXBench: 41fps (ES 3.1 onscreen)",Endurance rating 90h,"5,405,101 hits",4.4
72,OnePlus 7 Pro 5G,True,True,True,True,"2019, May 14","Available. Released 2019, September 06",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.67 inches, 109.2 cm2 (~88.5% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~515 ppi density)",Corning Gorilla Glass 5,,"Android 9.0 (Pie), upgradable to Android 10, OxygenOS 10.0.4",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x zoom, PDAF, OIS
16 MP, f/2.2, 13mm (ultrawide)","Dual-LED dual-tone flash, panorama, HDR","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",30W wired,,"Mirror Grey, Almond, Nebula Blue",GM1925,,,About 800 EUR,,,"1,352,868 hits",
73,OnePlus 7 Pro,True,True,True,False,"2019, May 14","Available. Released 2019, May 16",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)",Corning Gorilla Glass 5,,"Android 9.0 (Pie), upgradable to Android 12, OxygenOS 12.1",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, OIS
16 MP, f/2.2, 17mm (ultrawide), AF","Dual-LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","Li-Po 4000 mAh, non-removable",30W wired,,"Mirror Grey, Almond, Nebula Blue","GM1911, GM1913, GM1917, GM1910, GM1915",,,About 590 EUR,"
AnTuTu: 364025 (v7)
GeekBench: 10943 (v4.4), 2721 (v5.1)
GFXBench: 19fps (ES 3.1 onscreen)",Endurance rating 85h,"8,026,549 hits",4.4
74,OnePlus 7,True,True,True,False,"2019, May 14","Available. Released 2019, June 04",157.7 x 74.8 x 8.2 mm (6.21 x 2.94 x 0.32 in),182 g (6.42 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Optic AMOLED, HDR10","6.41 inches, 100.9 cm2 (~85.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)",Corning Gorilla Glass 6,,"Android 9.0 (Pie), upgradable to Android 12, OxygenOS 12.1",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS
5 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3700 mAh, non-removable",20W wired,,"Mirror Gray, Red, Mirror Blue","GM1901, GM1900, GM1905, GM1903",,,About 400 EUR,"
AnTuTu: 367812 (v7)
GeekBench: 11075 (v4.4)
GFXBench: 36fps (ES 3.1 onscreen)",Endurance rating 102h,"4,861,638 hits",4.2
75,OnePlus 6T McLaren,True,True,True,False,"2018, December 11","Available. Released 2018, December 13",157.5 x 74.8 x 8.2 mm (6.20 x 2.94 x 0.32 in),185 g (6.53 oz),"Glass front (Gorilla Glass 6), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,Optic AMOLED,"6.41 inches, 100.9 cm2 (~85.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)",Corning Gorilla Glass 6,,"Android 9.0 (Pie), upgradable to Android 10, OxygenOS 10",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,256GB 10GB RAM,"16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm","Auto-HDR, gyro-EIS",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, aptX HD, LE","GPS, GLONASS, BDS, GALILEO",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3700 mAh, non-removable","30W wired, 50% in 20 min (advertised)",,Speed Orange,,,,About 700 EUR,"
AnTuTu: 292716 (v7)
GeekBench: 9005 (v4.4)",,"1,222,497 hits",4.4
76,OnePlus 6T,True,True,True,False,"2018, October 29","Available. Released 2018, November 01",157.5 x 74.8 x 8.2 mm (6.20 x 2.94 x 0.32 in),185 g (6.53 oz),"Glass front (Gorilla Glass 6), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,Optic AMOLED,"6.41 inches, 100.9 cm2 (~85.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)",Corning Gorilla Glass 6,,"Android 9.0 (Pie), upgradable to Android 11, OxygenOS 11.1.1.1",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm","Auto-HDR, gyro-EIS",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, aptX HD, LE","GPS, GLONASS, BDS, GALILEO",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3700 mAh, non-removable",20W wired,,"Thunder Purple, Mirror Black, Midnight Black","A6010, A6013",,,About 430 EUR,"
AnTuTu: 293994 (v7)
GeekBench: 8977 (v4.4)
GFXBench: 31fps (ES 3.1 onscreen)",Endurance rating 90h,"7,213,741 hits",4.4
77,OnePlus 6,True,True,True,False,"2018, May 16","Available. Released 2018, May 17",155.7 x 75.4 x 7.8 mm (6.13 x 2.97 x 0.31 in),177 g (6.24 oz),"Glass front (Gorilla Glass 5), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",Water-repellent coating,Optic AMOLED,"6.28 inches, 98.4 cm2 (~83.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,,"Android 8.1 (Oreo), upgradable to Android 11, OxygenOS 11.1.1.1",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,"64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm","Auto-HDR, gyro-EIS",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3300 mAh, non-removable",20W wired,,"Midnight Black, Mirror Black, Silk White, Amber Red","A6000, A6003",,,About 410 EUR,"
AnTuTu: 264200 (v7)
GeekBench: 9011 (v4.4)
GFXBench: 33fps (ES 3.1 onscreen)",Endurance rating 76h,"11,010,303 hits",4.3
